# source: https://github.com/datacoon/russiannames (BSD-3-Clause)
# format: kind\ttext\tgender  kind=n|m|s  gender=m|f
n	эдита	f
n	фануз	m
n	флорит	m
n	фларид	m
n	расиль	m
n	таьяна	f
n	елизар	m
n	хуснулла	m
n	рахматулла	m
n	гильмулла	m
n	корней	m
n	хадича	f
n	анфиза	f
n	вазген	m
n	камал	m
n	вил	m
n	васил	m
n	ангам	m
n	марзия	f
n	эльмар	m
n	арарат	m
n	тойво	m
n	екатирина	f
n	акиф	m
n	фидаиль	m
n	дильбар	m
n	радислав	m
n	иванна	f
n	фаил	m
n	альфрит	m
n	разина	f
n	владик	m
n	ралия	f
n	даниль	m
n	вераника	f
n	ришард	m
n	загидулла	m
n	зосим	m
n	павлин	m
n	муллаян	m
n	сафиулла	m
n	барий	m
n	хурмат	m
n	тимербай	m
n	эльфрида	f
n	альтаф	m
n	генриэтта	f
n	рифхат	m
n	гарри	m
n	ямиль	m
n	альбин	m
n	равис	m
n	ирэна	f
n	илнур	m
n	фанус	m
n	ануза	f
n	сегей	m
n	владмир	m
n	харлампий	m
n	хабибрахман	m
n	киям	m
n	миргасим	m
n	матильда	f
n	риза	m
n	якуп	m
n	хамидулла	m
n	аскольд	m
n	шалва	m
n	мунавир	m
n	амаяк	m
n	шаукат	m
n	фавзия	f
n	халяф	m
n	григор	m
n	саида	f
n	эйно	m
n	равиля	f
n	зугра	f
n	тамила	f
n	динис	m
n	аяз	m
n	эльхан	m
n	анджела	f
n	франтишек	m
n	веслав	m
n	лемби	f
n	кашаф	m
n	ксенофонт	m
n	евлампия	f
n	гарай	m
n	ануфрий	m
n	залман	m
n	аполлон	m
n	харитина	f
n	дементий	m
n	рахима	f
n	савия	f
n	васим	m
n	надия	f
n	хильма	f
n	замира	f
n	чингиз	m
n	лола	f
n	артак	m
n	виолета	f
n	разиль	m
n	юрис	m
n	анита	f
n	дмитирий	m
n	божена	f
n	ежи	m
n	гиният	m
n	африкан	m
n	салихзян	m
n	федосий	m
n	сагидулла	m
n	кутдус	m
n	рахимьян	m
n	евфалия	f
n	афанасия	f
n	хабир	m
n	сайма	f
n	камилла	f
n	айвар	m
n	азер	m
n	жаннета	f
n	ахмад	m
n	илюза	f
n	разалия	f
n	зилия	f
n	май	m
n	муллахмет	m
n	устин	m
n	гайфулла	m
n	феодора	f
n	мазгар	m
n	аврам	m
n	савватий	m
n	мунавара	f
n	билал	m
n	вильгельм	m
n	тимерьян	m
n	сазида	f
n	рая	f
n	нона	f
n	аделия	f
n	насим	m
n	лора	f
n	альфат	m
n	бернарда	f
n	лаура	f
n	замир	m
n	фидус	m
n	гаяне	f
n	гюльнара	f
n	равшан	m
n	илюс	m
n	сейран	m
n	тельман	m
n	нана	f
n	иоланта	f
n	реня	f
n	меркурий	m
n	миргазиян	m
n	талип	m
n	бадма	m
n	сократ	m
n	дорофей	m
n	амирзян	m
n	циля	f
n	ахсан	m
n	захарий	m
n	арташес	m
n	таймураз	m
n	демид	m
n	кадир	m
n	динислам	m
n	эра	f
n	мират	m
n	гарник	m
n	мариана	f
n	анеля	f
n	збигнев	m
n	франя	f
n	азиз	m
n	алек	m
n	анур	m
n	юрии	m
n	эдуарт	m
n	эльман	m
n	гульдар	f
n	флида	f
n	флюс	m
n	ильсияр	f
n	октябрь	m
n	авраам	m
n	миннулла	m
n	габидулла	m
n	гиндулла	m
n	губайдулла	m
n	шакур	m
n	валей	m
n	амбарцум	m
n	филарет	m
n	ерванд	m
n	мартын	m
n	лея	f
n	гамир	m
n	наби	m
n	минислам	m
n	вальтер	m
n	аксан	m
n	энвер	m
n	леонтина	f
n	зара	f
n	иринья	f
n	тина	f
n	ваха	m
n	мартин	m
n	елизовета	f
n	бэла	f
n	манвел	m
n	ирья	f
n	араик	m
n	румия	f
n	расиля	f
n	арман	m
n	рамзиля	f
n	ленара	f
n	самир	m
n	сегрей	m
n	свелана	f
n	татаьяна	f
n	видади	m
n	екатарина	f
n	айли	f
n	федосей	m
n	абубакир	m
n	авдей	m
n	насибулла	m
n	муллагали	m
n	шафик	m
n	бася	f
n	имам	m
n	накип	m
n	аверьян	m
n	яхья	m
n	зиновия	f
n	гани	m
n	рабига	f
n	ягафар	m
n	вагаршак	m
n	параскева	f
n	магафур	m
n	геворк	m
n	марлен	m
n	зулейха	f
n	аскер	m
n	гарегин	m
n	фагима	f
n	рахиля	f
n	малика	f
n	тофик	m
n	сахиб	m
n	адиля	f
n	фелиция	f
n	анар	m
n	шухрат	m
n	валерик	m
n	эльвера	f
n	вячаслав	m
n	айбулат	m
n	айдын	m
n	майа	f
n	нуриахмет	m
n	галактион	m
n	галиахмет	m
n	конкордия	f
n	лукман	m
n	алфей	m
n	ефалия	f
n	асадулла	m
n	магира	f
n	воля	f
n	мусса	m
n	минигали	m
n	ираклий	m
n	ульян	m
n	владилена	f
n	мамикон	m
n	ахмат	m
n	ракия	f
n	газим	m
n	палина	f
n	мажит	m
n	крестина	f
n	алихан	m
n	нур	m
n	витаутас	m
n	иветта	f
n	сеогей	m
n	ритта	f
n	разим	m
n	адик	m
n	вахид	m
n	дмиртий	m
n	фидарис	m
n	рафида	f
n	ильфак	m
n	залина	f
n	александрина	f
n	адрей	m
n	томаш	m
n	алекснадр	m
n	мубаракша	m
n	никит	m
n	айзик	m
n	умяр	m
n	венидикт	m
n	мисбах	m
n	биктимир	m
n	узбек	m
n	газизян	m
n	сафрон	m
n	аршалуйс	m
n	баян	m
n	габит	m
n	ханифа	f
n	адип	m
n	байрам	m
n	заурбек	m
n	кадрия	f
n	людвига	f
n	хильда	f
n	лейля	f
n	алесей	m
n	камо	m
n	рузанна	f
n	дмитрии	m
n	юля	f
n	гюзелия	f
n	ляйсян	f
n	минигуль	f
n	ильгар	m
n	зузанна	f
n	луция	f
n	парфен	m
n	гарафутдин	m
n	мендель	m
n	кави	m
n	арут	m
n	аюп	m
n	шайдулла	m
n	галиулла	m
n	эмануил	m
n	рюрик	m
n	айказ	m
n	викторина	f
n	баграт	m
n	халид	m
n	ансар	m
n	жора	m
n	флора	f
n	дария	f
n	рахман	m
n	назифа	f
n	геноэфа	f
n	васима	f
n	гарий	m
n	бернард	m
n	разит	m
n	фирдавис	m
n	илхам	m
n	фларида	f
n	гузэль	f
n	эльнур	m
n	яшар	m
n	карине	f
n	сюзанна	f
n	эйла	f
n	мирзагит	m
n	гафият	m
n	меер	m
n	валиахмет	m
n	кашиф	m
n	мияссар	m
n	муся	m
n	апполон	m
n	ованес	m
n	мингали	m
n	хамат	m
n	хакимулла	m
n	зарифулла	m
n	муртаза	m
n	нигматулла	m
n	саубан	m
n	минна	f
n	давлет	m
n	киприян	m
n	изот	m
n	садык	m
n	басыр	m
n	суфиян	m
n	гита	f
n	нурихан	m
n	вафа	m
n	миргалим	m
n	анфия	f
n	завен	m
n	мариам	f
n	вазих	m
n	арий	m
n	фаик	m
n	петрос	m
n	аслям	m
n	эля	m
n	сафар	m
n	хава	f
n	рашат	m
n	арвид	m
n	батыр	m
n	минзифа	f
n	леонилла	f
n	хусейн	m
n	аминат	f
n	беслан	m
n	гульчира	f
n	ваграм	m
n	нинэль	f
n	гиви	m
n	хамзат	m
n	олена	f
n	рашад	m
n	таслима	f
n	магамед	m
n	анжелина	f
n	федр	m
n	разифа	f
n	раиза	f
n	люза	f
n	камила	f
n	фидалия	f
n	натиг	m
n	фанир	m
n	николаевич	m
n	филюз	m
n	данияр	m
n	эльшан	m
n	мехман	m
n	влдаимир	m
n	алексендр	m
n	татяна	f
n	потап	m
n	агафон	m
n	нурлыгаян	m
n	варфоломей	m
n	гарифзян	m
n	нуртдин	m
n	шайхи	m
n	хатып	m
n	фатхулла	m
n	габдрауф	m
n	имамутдин	m
n	зиннатулла	m
n	руф	m
n	алимпий	m
n	ермил	m
n	калистрат	m
n	герш	m
n	мизхат	m
n	израил	m
n	гата	m
n	карима	f
n	мингалей	m
n	мисак	m
n	фира	f
n	халиса	f
n	сабира	f
n	энгель	m
n	амиран	m
n	гегам	m
n	халиль	m
n	вакил	m
n	варужан	m
n	альфонс	m
n	ниль	m
n	октай	m
n	ринад	m
n	фларис	m
n	зенфира	f
n	асиф	m
n	гульфина	f
n	физули	m
n	айна	f
n	фаиг	m
n	алесь	m
n	юдифь	f
n	салях	m
n	апполинарий	m
n	новомир	m
n	габдулахат	m
n	акиндин	m
n	михей	m
n	лейб	m
n	габдрахим	m
n	федос	m
n	нестор	m
n	гильман	m
n	тит	m
n	пимен	m
n	ливерий	m
n	хазби	m
n	мелик	m
n	мусагит	m
n	анастасий	m
n	алида	f
n	даут	m
n	асма	f
n	эстер	m
n	хатима	f
n	таскира	f
n	гамид	m
n	даян	m
n	зелимхан	m
n	агарон	m
n	салман	m
n	людвик	m
n	нажия	f
n	фарзана	f
n	отари	m
n	рейно	m
n	файруз	m
n	ара	f
n	ильгиза	f
n	илюса	f
n	сетлана	f
n	радим	m
n	эльчин	m
n	илгар	m
n	димтрий	m
n	люмила	f
n	нигмат	m
n	зайдулла	m
n	мухаматнур	m
n	файзи	m
n	гибадулла	m
n	панфил	m
n	абрар	m
